1	5.9896	399.2531
2	5.2798	196.3306
3	5.0476	155.6438
4	4.9016	134.5034
5	4.8588	128.8710
6	4.8064	122.2894
7	4.8221	124.2278
8	4.8294	125.1296
9	4.8395	126.4028
10	4.8436	126.9243
11	4.8437	126.9367
12	4.8436	126.9290
13	4.8436	126.9267
14	4.8436	126.9261
15	4.8436	126.9259
16	4.8436	126.9259
17	4.8436	126.9260
18	4.8436	126.9259
19	4.8436	126.9259
20	4.8436	126.9259
21	4.8436	126.9259
22	4.8436	126.9259
23	4.8436	126.9259
24	4.8436	126.9259
25	4.8436	126.9259
26	4.8436	126.9259
27	4.8436	126.9259
28	4.8436	126.9259
29	4.8436	126.9259
30	4.8436	126.9259
31	4.8436	126.9259
32	4.8436	126.9259
33	4.8436	126.9259
34	4.8436	126.9259
35	4.8436	126.9259
36	4.8436	126.9259
37	4.8436	126.9259
38	4.8436	126.9259
39	4.8436	126.9259
40	4.8436	126.9259
Test	4.59	98.16
1	5.7092	301.6173
2	5.2995	200.2271
3	5.0599	157.5760
4	4.9277	138.0620
5	4.8464	127.2805
6	4.7789	118.9713
7	4.7535	115.9849
8	4.7374	114.1332
9	4.7638	117.1944
10	4.7386	114.2709
11	4.7446	114.9664
12	4.7462	115.1490
13	4.7469	115.2220
14	4.7469	115.2315
15	4.7469	115.2319
16	4.7470	115.2323
17	4.7469	115.2322
18	4.7469	115.2322
19	4.7469	115.2322
20	4.7469	115.2322
21	4.7469	115.2322
22	4.7469	115.2322
23	4.7469	115.2322
24	4.7469	115.2322
25	4.7469	115.2322
26	4.7469	115.2322
27	4.7469	115.2322
28	4.7469	115.2322
29	4.7469	115.2322
30	4.7469	115.2322
31	4.7469	115.2322
32	4.7469	115.2322
33	4.7469	115.2322
34	4.7469	115.2322
35	4.7469	115.2322
36	4.7469	115.2322
37	4.7469	115.2322
38	4.7469	115.2322
39	4.7469	115.2322
40	4.7469	115.2322
Test	4.50	90.27
1	5.7260	306.7431
2	5.3197	204.3154
3	5.0857	161.6963
4	4.9658	143.4286
5	4.8813	131.8059
6	4.8444	127.0321
7	4.7974	121.1911
8	4.7528	115.9094
9	4.7260	112.8455
10	4.7235	112.5643
11	4.7163	111.7557
12	4.7045	110.4456
13	4.7033	110.3101
14	4.6868	108.5075
15	4.6858	108.3916
16	4.6914	109.0043
17	4.6809	107.8663
18	4.6867	108.4943
19	4.6918	109.0475
20	4.6912	108.9844
21	4.6905	108.9049
22	4.6906	108.9149
23	4.6906	108.9149
24	4.6906	108.9144
25	4.6906	108.9145
26	4.6906	108.9146
27	4.6906	108.9146
28	4.6906	108.9146
29	4.6906	108.9146
30	4.6906	108.9146
31	4.6906	108.9146
32	4.6906	108.9146
33	4.6906	108.9146
34	4.6906	108.9146
35	4.6906	108.9146
36	4.6906	108.9146
37	4.6906	108.9146
38	4.6906	108.9146
39	4.6906	108.9146
40	4.6906	108.9146
Test	4.39	80.64
1	5.7783	323.2149
2	5.4355	229.4185
3	5.2571	191.9283
4	5.1369	170.1954
5	5.0802	160.8057
6	5.0467	155.5123
7	5.0013	148.6022
8	4.9685	143.8130
9	4.9559	142.0072
10	4.9529	141.5837
11	4.9336	138.8798
12	4.9037	134.7818
13	4.8874	132.6061
14	4.8903	132.9871
15	4.8693	130.2359
16	4.8629	129.3949
17	4.8545	128.3105
18	4.8498	127.7125
19	4.8429	126.8411
20	4.8339	125.6944
21	4.8290	125.0863
22	4.8258	124.6830
23	4.8243	124.5050
24	4.8224	124.2602
25	4.8213	124.1228
26	4.8206	124.0400
27	4.8231	124.3463
28	4.8207	124.0564
29	4.8242	124.4847
30	4.8246	124.5314
31	4.8245	124.5250
32	4.8245	124.5238
33	4.8245	124.5242
34	4.8245	124.5241
35	4.8245	124.5241
36	4.8245	124.5241
37	4.8245	124.5241
38	4.8245	124.5241
39	4.8245	124.5241
40	4.8245	124.5241
Test    4.55    94.99

